DiversifyingPressureID,DiversifyingPressureSet,DiversifyingPressureType,Preferences,value,variable
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,2.07928,beta
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,4.12829,kappa
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.7296020000000001,omega
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,-0.061059800000000004,omega2
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.403331,phiA
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.17895,phiC
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.21879,phiG
HA_Li_divpressure_49,HA_Li_divpressure,Random,HA_prefs_Doud2016,-7240.77,LogLikelihood
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,2.07958,beta
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,4.12781,kappa
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.7257100000000001,omega
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-0.0899783,omega2
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.40333800000000003,phiA
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.17895,phiC
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.218788,phiG
HA_Linderman_divpressure_33,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-7240.82,LogLikelihood
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,2.0800799999999997,beta
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,4.123469999999999,kappa
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.739086,omega
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-0.41862200000000005,omega2
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.40334899999999996,phiA
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.218784,phiG
HA_Caton_divpressure_79,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-7238.85,LogLikelihood
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,2.08039,beta
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,4.129169999999999,kappa
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.7294039999999999,omega
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,-0.0539237,omega2
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.403356,phiA
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.218781,phiG
HA_Li_divpressure_52,HA_Li_divpressure,Random,HA_prefs_Doud2016,-7240.78,LogLikelihood
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,2.07444,beta
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,4.1238,kappa
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.735874,omega
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-0.9999899999999999,omega2
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.403223,phiA
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.178952,phiC
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.21883000000000002,phiG
HA_Linderman_divpressure_72,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-7233.97,LogLikelihood
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,2.0800799999999997,beta
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,4.12355,kappa
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.712196,omega
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.330021,omega2
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.40334899999999996,phiA
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.218784,phiG
HA_Caton_divpressure_76,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-7239.86,LogLikelihood
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,2.08014,beta
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,4.12397,kappa
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.737028,omega
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,-0.138371,omega2
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.40335,phiA
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.218783,phiG
HA_Li_divpressure_59,HA_Li_divpressure,Random,HA_prefs_Doud2016,-7240.39,LogLikelihood
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,2.08336,beta
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,4.12634,kappa
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.718987,omega
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.5340159999999999,omega2
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.403422,phiA
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.178948,phiC
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.218757,phiG
HA_Linderman_divpressure_38,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-7240.10,LogLikelihood
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,2.08244,beta
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,4.13207,kappa
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.713853,omega
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.337394,omega2
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.403401,phiA
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.178948,phiC
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.21876500000000002,phiG
HA_Caton_divpressure_73,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-7239.93,LogLikelihood
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,2.08241,beta
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,4.12932,kappa
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.70158,omega
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.309718,omega2
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.4034,phiA
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.178948,phiC
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.21876500000000002,phiG
HA_Li_divpressure_62,HA_Li_divpressure,Random,HA_prefs_Doud2016,-7239.19,LogLikelihood
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,2.08023,beta
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,4.1319300000000005,kappa
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.715653,omega
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.504019,omega2
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.403352,phiA
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.218783,phiG
HA_Linderman_divpressure_73,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-7239.75,LogLikelihood
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,2.08007,beta
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,4.12849,kappa
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.726416,omega
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-0.043057,omega2
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.403348,phiA
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.17895,phiC
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.218784,phiG
HA_Caton_divpressure_54,HA_Caton_divpressure,Random,HA_prefs_Doud2016,-7240.83,LogLikelihood
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,2.08162,beta
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,4.13362,kappa
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.715396,omega
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.141822,omega2
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.403383,phiA
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.178949,phiC
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,0.218771,phiG
HA_Li_divpressure_61,HA_Li_divpressure,Random,HA_prefs_Doud2016,-7240.52,LogLikelihood
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,2.09023,beta
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,4.12228,kappa
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.70787,omega
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,1.8304,omega2
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.403573,phiA
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.178945,phiC
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,0.21870100000000003,phiG
HA_Linderman_divpressure_39,HA_Linderman_divpressure,Random,HA_prefs_Doud2016,-7234.97,LogLikelihood
HA_Caton_divpressure_51,HA_Caton_divpressure,Random,HA_prefs_Doud2016,2.0801,beta
HA_Caton_divpressure_51,HA_Caton_divpressure,Random,HA_prefs_Doud2016,4.11683,kappa
HA_Caton_divpressure_51,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.709792,omega
HA_Caton_divpressure_51,HA_Caton_divpressure,Random,HA_prefs_Doud2016,0.38061100000000003,omega2
